band_name,fans,formed,origin,split,style,soup
Cold Body Radiation,26,2009,The Netherlands,2009,Atmospheric black Shoegaze Post-rock,Atmospheric black Shoegaze Post-rock The Netherlands
Crystal Eyes,26,1992,Sweden,-,Power,Power Sweden
Deathchain,26,2001,Finland,2001,Thrash Death,Thrash Death Finland
Derek Sherinian,26,1996,USA,-,Progressive Progressive rock,Progressive Progressive rock USA
Desolate Shrine,26,2010,Finland,2010,Death,Death Finland
Destroy Destroy Destroy,26,2003,USA,-,Extreme power,Extreme power USA
Drowning The Light,26,2003,Australia,2003,Black,Black Australia
Elegy,26,1992,The Netherlands,-,Progressive power,Progressive power The Netherlands
Elf,26,1967,USA,1967,Blues rock Hard rock,Blues rock Hard rock USA
Fozzy,26,1999,USA,-,Heavy,Heavy USA
Gardenian,26,1996,Sweden,1996,Melodic death,Melodic death Sweden
Hades Almighty,26,1998,Norway,-,Black,Black Norway
Holy Terror,26,1985,USA,1985,Thrash,Thrash USA
HolyHell,26,2005,USA,-,Symphonic power,Symphonic power USA
Illidiance,26,2004,Russia,2004,Symphonic black Industrial,Symphonic black Industrial Russia
Lord,26,2003,Australia,-,Power Heavy,Power Heavy Australia
Manslaughter,26,2007,Poland,2007,Death Black,Death Black Poland
Obtest,26,1992,Lithuania,-,Brutal death Pagan black Pagan folk,Brutal death Pagan black Pagan folk Lithuania
Oceans Of Slumber,26,2011,USA,2011,Extreme progressive,Extreme progressive USA
Ram-Zet,26,1998,Norway,-,Extreme avantgarde,Extreme avantgarde Norway
Sacrifice,26,1983,Canada,1983,Thrash,Thrash Canada
Salem,26,1985,Israel,-,Black Doom Death,Black Doom Death Israel
Satariel,26,1993,Sweden,1993,Black Melodic death,Black Melodic death Sweden
Shakra,26,1997,Switzerland,-,Hard rock Heavy,Hard rock Heavy Switzerland
Tharaphita,26,1995,Estonia,1995,Pagan black,Pagan black Estonia
The Black Mages,26,2003,Japan,2010,Progressive,Progressive Japan
Thy Serpent,26,1992,Finland,1992,Melodic black,Melodic black Finland
To Cast A Shadow,26,2005,Norway,-,Doom Gothic,Doom Gothic Norway
Yggdrasil,26,2001,Sweden,2001,Folk,Folk Sweden
1000 Funerals,25,2005,Iran,2011,Funeral doom,Funeral doom Iran
Aaskereia,25,1997,Germany,1997,Pagan black,Pagan black Germany
Amaran,25,2000,Sweden,2005,Gothenburg,Gothenburg Sweden
Angelcorpse,25,1995,USA,1995,Blackened death,Blackened death USA
ASP,25,1999,Germany,-,Industrial gothic Gothic rock,Industrial gothic Gothic rock Germany
Beyond Fear,25,2005,USA,2005,Heavy,Heavy USA
Blackthorn,25,2004,Russia,-,Symphonic gothic,Symphonic gothic Russia
Blitzkrieg,25,1980,United Kingdom,1980,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Christian Muenzner,25,2011,Germany,-,Progressive Instrumental,Progressive Instrumental Germany
Christopher Lee,25,2009,United Kingdom,2009,Heavy Power,Heavy Power United Kingdom
Concerto Moon,25,1996,Japan,-,Power,Power Japan
Coronatus,25,2002,Germany,2002,Gothic,Gothic Germany
Death Breath,25,2005,Sweden,-,Death,Death Sweden
Depressed Mode,25,2005,Finland,2005,Funeral doom Melodic death,Funeral doom Melodic death Finland
Fall Of The Leafe,25,1996,Finland,2007,Melodic death Gothic Heavy,Melodic death Gothic Heavy Finland
Forever Slave,25,2000,Spain,2000,Gothic,Gothic Spain
Gallhammer,25,2003,Japan,-,Black Crust Punk,Black Crust Punk Japan
Germ,25,2003,Australia,2003,Depressive black Electronica Shoegaze,Depressive black Electronica Shoegaze Australia
Glittertind,25,2001,Norway,-,Viking folk Punk rock,Viking folk Punk rock Norway
Irminsul,25,2005,Sweden,2005,Viking folk,Viking folk Sweden
Izegrim,25,1996,The Netherlands,-,Death Melodic death Thrash,Death Melodic death Thrash The Netherlands
Lääz Rockit,25,1982,USA,1982,Bayarea thrash,Bayarea thrash USA
Make Them Suffer,25,2008,Australia,-,Symphonic deathcore,Symphonic deathcore Australia
Michael Schenker's Temple Of Rock,25,1979,Germany,1979,Hard rock,Hard rock Germany
Moi Dix Mois,25,2002,Japan,-,Symphonic gothic,Symphonic gothic Japan
Mustasch,25,1998,Sweden,1998,Heavy,Heavy Sweden
Odroerir,25,1998,Germany,-,Pagan folk,Pagan folk Germany
Pillorian,25,2016,USA,2016,Atmospheric black,Atmospheric black USA
Sanctity,25,2000,USA,2008,Melodic thrash,Melodic thrash USA
Saviour Machine,25,1989,USA,1989,Gothic,Gothic USA
Sinamore,25,1998,Finland,-,Gothic Gothic rock,Gothic Gothic rock Finland
Sons Of Aeon,25,2009,Finland,2009,Melodic death,Melodic death Finland
Steelheart,25,1990,USA,-,Glam Gothic,Glam Gothic USA
Stone,25,1985,Finland,1985,Speed Thrash,Speed Thrash Finland
The Howling Void,25,2007,USA,-,Funeral doom Symphonic doom,Funeral doom Symphonic doom USA
The Prophecy,25,2001,United Kingdom,2001,Death doom,Death doom United Kingdom
Thronar,25,1998,The Netherlands,2009,Atmospheric black Folk,Atmospheric black Folk The Netherlands
Toundra,25,2007,Spain,2007,Instrumental post-metal,Instrumental post-metal Spain
Tremonti,25,2011,USA,-,Heavy,Heavy USA
Visceral Bleeding,25,1999,Sweden,1999,Brutal death,Brutal death Sweden
Winter,25,1988,USA,-,Death doom,Death doom USA
Alarum,24,1992,Australia,1992,Progressive Fusion,Progressive Fusion Australia
Barón Rojo,24,1980,Spain,-,Hard rock Heavy,Hard rock Heavy Spain
Battle Of Mice,24,2005,USA,2005,Post-metal,Post-metal USA
Benedictum,24,2005,USA,-,Heavy,Heavy USA
Bison B.C.,24,2006,Canada,2006,Sludge,Sludge Canada
Black Country Communion,24,2009,USA,2013,Hard rock Blues rock,Hard rock Blues rock USA
Carnal Forge,24,1997,Sweden,1997,Death Thrash,Death Thrash Sweden
Cemetary,24,1989,Sweden,2005,Death Gothic,Death Gothic Sweden
Demon,24,1979,United Kingdom,1979,New wave of british heavy Hard rock Heavy,New wave of british heavy Hard rock Heavy United Kingdom
Diamond Plate,24,2004,USA,-,Thrash,Thrash USA
Disincarnate,24,1992,USA,1992,Death,Death USA
End Of You,24,2003,Finland,-,Suomi,Suomi Finland
Eulen,24,2009,Syria,2009,Doom Black,Doom Black Syria
Forsaken,24,1990,Malta,-,Doom Heavy,Doom Heavy Malta
Galloglass,24,1999,Germany,1999,Power,Power Germany
Grave Miasma,24,2006,United Kingdom,-,Death,Death United Kingdom
Harmony,24,2000,Sweden,2000,Progressive power,Progressive power Sweden
Hatriot,24,2010,USA,-,Thrash,Thrash USA
Headspace,24,2006,United Kingdom,2006,Progressive Progressive rock,Progressive Progressive rock United Kingdom
Horseback,24,2006,USA,-,Ambient Drone Post- Rock,Ambient Drone Post- Rock USA
Hoth,24,2011,USA,2011,Melodic black Melodic death,Melodic black Melodic death USA
Hunter,24,1986,Poland,-,Thrash Alternative,Thrash Alternative Poland
Indian,24,2003,USA,2003,Blackened sludge Doom,Blackened sludge Doom USA
Living Sacrifice,24,1989,USA,-,Death Metalcore Thrash,Death Metalcore Thrash USA
Naildown,24,2003,Finland,2003,Melodic death,Melodic death Finland
One Man Army And The Undead Quartet,24,2004,Sweden,2012,Death Thrash,Death Thrash Sweden
Prototype,24,1994,USA,1994,Progressive,Progressive USA
Regurgitate,24,1990,Sweden,-,Goregrind,Goregrind Sweden
Sahg,24,2004,Norway,2004,Stoner,Stoner Norway
Severed Savior,24,1999,USA,-,Brutal death Technical death,Brutal death Technical death USA
Spheric Universe Experience,24,1999,France,1999,Progressive,Progressive France
Tokyo Blade,24,1982,United Kingdom,-,New wave of british heavy Heavy,New wave of british heavy Heavy United Kingdom
Votum,24,2003,Poland,2003,Heavy Progressive,Heavy Progressive Poland
Ade,23,2007,Italy,-,Death,Death Italy
Anti,23,2004,Germany,2004,Depressive black,Depressive black Germany
Arch/Matheos,23,2010,USA,-,Progressive,Progressive USA
Believer,23,1986,USA,1986,Technical thrash,Technical thrash USA
Blaze Of Perdition,23,2004,Poland,-,Black,Black Poland
Byfrost,23,2007,Norway,2007,Black Thrash,Black Thrash Norway
Catacombs,23,2000,USA,-,Funeral doom,Funeral doom USA
Conan,23,2006,United Kingdom,2006,Doom Stoner,Doom Stoner United Kingdom
Count Raven,23,1989,Sweden,-,Doom,Doom Sweden
Cripper,23,2005,Germany,2005,Thrash,Thrash Germany
Darkest Era,23,2005,United Kingdom,-,Folk Doom Heavy,Folk Doom Heavy United Kingdom
Defiance,23,1985,USA,1985,Thrash,Thrash USA
Demonica,23,2008,Denmark,-,Thrash,Thrash Denmark
Downfall Of Gaia,23,2008,Germany,2008,Atmospheric sludge Post-metal,Atmospheric sludge Post-metal Germany
Fifth Angel,23,1983,USA,-,Us power,Us power USA
Galar,23,2004,Norway,2004,Viking black Folk Neofolk,Viking black Folk Neofolk Norway
Helltrain,23,2002,Sweden,-,Death ' N' Roll,Death ' N' Roll Sweden
Hypomanie,23,2007,The Netherlands,2007,Shoegaze  Black,Shoegaze  Black The Netherlands
Inter Arma,23,2006,USA,-,Blackened sludge,Blackened sludge USA
Iommi,23,2000,United Kingdom,2000,Heavy Hard rock,Heavy Hard rock United Kingdom
Kipelov,23,1997,Russia,-,Heavy,Heavy Russia
Mantic Ritual,23,2005,USA,2005,Thrash,Thrash USA
Massacra,23,1986,France,1997,Death Groove thrash Heavy Thrash,Death Groove thrash Heavy Thrash France
Mechanical Poet,23,2002,Russia,2002,Symphonic progressive,Symphonic progressive Russia
Mindplotter,23,2008,Ukraine,-,Math,Math Ukraine
Misery Signals,23,2002,USA,2002,Metalcore,Metalcore USA
Nasheim,23,2001,Sweden,-,Black,Black Sweden
Nazxul,23,1993,Australia,1993,Black,Black Australia
Obscurity,23,1997,Germany,-,Pagan folk Viking black,Pagan folk Viking black Germany
Ramp,23,1989,Portugal,1989,Heavy Industrial thrash Thrash,Heavy Industrial thrash Thrash Portugal
Regarde Les Hommes Tomber,23,2011,France,-,Black Post-metal Sludge,Black Post-metal Sludge France
Runemagick,23,1990,Sweden,1990,Death Death doom,Death Death doom Sweden
Shrinebuilder,23,2008,USA,-,Doom Sludge Stoner,Doom Sludge Stoner USA
Stormwitch,23,1979,Germany,1979,Heavy,Heavy Germany
Thanatos,23,1984,The Netherlands,-,Death Thrash,Death Thrash The Netherlands
The Hourglass,23,2002,Syria,2002,Heavy,Heavy Syria
The Provenance,23,1995,Sweden,2008,Experimental gothic Progressive death Doom,Experimental gothic Progressive death Doom Sweden
The Rotted,23,1997,United Kingdom,1997,Grindcore Brutal death Death Punk,Grindcore Brutal death Death Punk United Kingdom
Today Is The Day,23,1992,USA,-,Hardcore Noise rock,Hardcore Noise rock USA
Vampiria,23,1997,Argentina,1997,Blackened gothic,Blackened gothic Argentina
Wormlust,23,2003,Iceland,-,Black,Black Iceland
Yyrkoon,23,1995,France,1995,Death,Death France
Zonata,23,1998,Sweden,2003,Power,Power Sweden
Ørkenkjøtt,22,2005,Norway,2005,Extreme progressive,Extreme progressive Norway
Acherontas,22,2007,Greece,-,Black,Black Greece
Alabama Thunderpussy,22,1996,USA,1996,Stoner Heavy,Stoner Heavy USA
Antediluvian,22,2006,Canada,-,Blackened death,Blackened death Canada
Argus,22,2005,USA,2005,Doom Heavy,Doom Heavy USA
Black Fast,22,2010,USA,-,Thrash Progressive black,Thrash Progressive black USA
Breakdown Of Sanity,22,2007,Switzerland,2007,Metalcore Deathcore,Metalcore Deathcore Switzerland
Celeste,22,2005,France,-,Black Sludge Hardcore,Black Sludge Hardcore France
Chaos Moon,22,2004,USA,2004,Atmospheric black,Atmospheric black USA
Christ Agony,22,1990,Poland,-,Black,Black Poland
Comatose Vigil,22,2003,Russia,2003,Funeral doom,Funeral doom Russia
Crimson Moonlight,22,1997,Sweden,-,Black,Black Sweden
De Profundis,22,2005,United Kingdom,2005,Death doom Extreme progressive Technical death,Death doom Extreme progressive Technical death United Kingdom
Demians,22,2007,France,-,Alternative rock Progressive,Alternative rock Progressive France
Descending,22,2007,Greece,2007,Gothenburg Metalcore,Gothenburg Metalcore Greece
Dreamscape,22,1986,Germany,-,Progressive,Progressive Germany
For Today,22,2005,USA,2005,Metalcore,Metalcore USA
Frailty,22,2003,Latvia,-,Death doom,Death doom Latvia
Genghis Tron,22,2004,USA,2004,Cyber grindcore,Cyber grindcore USA
Gernotshagen,22,1999,Germany,-,Pagan black Folk,Pagan black Folk Germany
Happy Days,22,2004,USA,2004,Depressive black,Depressive black USA
Hatchet,22,2006,USA,-,Bayarea thrash,Bayarea thrash USA
How Like A Winter,22,1999,Italy,1999,Gothic doom,Gothic doom Italy
Liege Lord,22,1982,USA,-,Us power Thrash,Us power Thrash USA
Loudblast,22,1985,France,1985,Death Thrash,Death Thrash France
Lychgate,22,2001,United Kingdom,-,Progressive black Atmospheric black,Progressive black Atmospheric black United Kingdom
Mütiilation,22,1991,France,1991,Black,Black France
Magrudergrind,22,2002,USA,-,Grindcore,Grindcore USA
Michael Kiske,22,1996,Germany,1996,Hard rock,Hard rock Germany
Misanthrope,22,1988,France,-,Melodic death,Melodic death France
Nirvana 2002,22,1988,Sweden,1988,Death,Death Sweden
Orphanage,22,1993,The Netherlands,2005,Melodic death Gothic,Melodic death Gothic The Netherlands
Ovid's Withering,22,2010,USA,2010,Blackened deathcore Symphonic deathcore Progressive deathcore,Blackened deathcore Symphonic deathcore Progressive deathcore USA
Realm,22,1985,USA,1992,Progressive thrash,Progressive thrash USA
Repugnant,22,1998,Sweden,1998,Death Thrash,Death Thrash Sweden
Rob Rock,22,2000,USA,-,Us power,Us power USA
RoutaSielu,22,2010,Finland,2010,Melodic death,Melodic death Finland
Shadowside,22,2001,Brazil,-,Power,Power Brazil
Signum Regis,22,2007,Slovak Republic,2007,Progressive Power,Progressive Power Slovak Republic
Sombres Forêts,22,2005,Canada,-,Black,Black Canada
Sunpocrisy,22,2007,Italy,2007,Progressive death Atmospheric sludge Post-metal,Progressive death Atmospheric sludge Post-metal Italy
Symphorce,22,1998,Germany,2011,Power,Power Germany
The Arcane Order,22,2000,Denmark,2000,Melodic death Thrash,Melodic death Thrash Denmark
The Browning,22,2005,USA,-,Metalcore Trancecore,Metalcore Trancecore USA
The Flight Of Sleipnir,22,2007,USA,2007,Doom Folk Stoner,Doom Folk Stoner USA
Turbo,22,1980,Poland,-,Hard rock Heavy Thrash Speed,Hard rock Heavy Thrash Speed Poland
Until Death Overtakes Me,22,1999,Belgium,1999,Funeral doom Ambient,Funeral doom Ambient Belgium
Vinnie Moore,22,1986,USA,-,Hard rock Neoclassical Instrumental,Hard rock Neoclassical Instrumental USA
Viraemia,22,2008,USA,2008,Brutal death Technical death,Brutal death Technical death USA
Voices,22,2011,United Kingdom,-,Black,Black United Kingdom
Wormphlegm,22,2000,Finland,2000,Funeral doom Drone,Funeral doom Drone Finland
Act Of Defiance,21,2014,USA,-,Heavy Thrash,Heavy Thrash USA
Aes Dana,21,1994,France,1994,Atmospheric black Celtic black,Atmospheric black Celtic black France
Aeveron,21,2002,Germany,-,Melodic death Black,Melodic death Black Germany
Aluk Todolo,21,2004,France,2004,Black Krautrock,Black Krautrock France
Armory,21,2001,USA,-,Power,Power USA
Autumnia,21,2003,Ukraine,2003,Melodic death Doom,Melodic death Doom Ukraine
Avrigus,21,1995,Australia,-,Gothic doom Neoclassical darkwave,Gothic doom Neoclassical darkwave Australia
Blazing Eternity,21,1993,Denmark,1993,Atmospheric doom,Atmospheric doom Denmark
Catafalque,21,1997,Turkey,-,Gothic,Gothic Turkey
Chalice Of Doom,21,2010,Jordan,2010,Melodic death Doom,Melodic death Doom Jordan
Chthe'ilist,21,2010,Canada,-,Death,Death Canada
Cruciamentum,21,2005,United Kingdom,2005,Death,Death United Kingdom
Divinity,21,1999,Canada,-,Progressive death Thrash,Progressive death Thrash Canada
Dol Ammad,21,2000,Greece,2000,Electronic symphonic,Electronic symphonic Greece
Dreamland,21,2003,Sweden,-,Heavy Power,Heavy Power Sweden
Eisregen,21,1995,Germany,1995,Gothic black,Gothic black Germany
Eyefear,21,1994,Australia,-,Progressive Power,Progressive Power Australia
Fear Of Domination,21,2006,Finland,2006,Melodic death Industrial,Melodic death Industrial Finland
First Fragment,21,2007,Canada,-,Technical death,Technical death Canada
Frequency Of Butterfly Wings,21,2009,Iran,2009,Melodic death Doom,Melodic death Doom Iran
Fuck The Facts,21,1999,Canada,-,Grindcore Noise,Grindcore Noise Canada
Grey Heaven Fall,21,2006,Russia,2006,Black Death,Black Death Russia
Gruesome,21,2014,USA,-,Death,Death USA
Illogicist,21,1997,Italy,1997,Technical death,Technical death Italy
Insect Warfare,21,2004,USA,2008,Grindcore,Grindcore USA
Ion Dissonance,21,2002,Canada,2002,Deathcore Math Metalcore,Deathcore Math Metalcore Canada
Istapp,21,2005,Sweden,-,Melodic black,Melodic black Sweden
Kriegsmaschine,21,2002,Poland,2002,Black,Black Poland
Mörk Gryning,21,1993,Sweden,2005,Black,Black Sweden
Mar?olea,21,2008,Romania,2008,Pagan black,Pagan black Romania
Nevid,21,2004,Russia,-,Pagan folk,Pagan folk Russia
Nostradameus,21,1998,Sweden,1998,Power Thrash,Power Thrash Sweden
Phantasma (NED),21,2015,The Netherlands,-,Symphonic,Symphonic The Netherlands
Psyopus,21,2002,USA,2002,Metalcore Technical grindcore,Metalcore Technical grindcore USA
Rise Of Avernus,21,2010,Australia,-,Progressive gothic Progressive doom,Progressive gothic Progressive doom Australia
Sarke,21,2008,Norway,2008,Black Black 'n Roll,Black Black 'n Roll Norway
Serious Black,21,2013,Germany,-,Power,Power Germany
Seth,21,1995,France,1995,Black,Black France
Supreme Majesty,21,1999,Sweden,-,Power,Power Sweden
Symphonity,21,1994,Czech Republic,1994,Symphonic power,Symphonic power Czech Republic
The Wretched End,21,2008,Norway,-,Death Thrash,Death Thrash Norway
Unholy,21,1988,Finland,1988,Death doom,Death doom Finland
Valtari,21,2010,Australia,-,Melodic death,Melodic death Australia
Volumes,21,2009,USA,2009,Math Djent,Math Djent USA
Árstíðir Lífsins,20,2008,Iceland,-,Black Folk,Black Folk Iceland
Advent Sorrow,20,2010,Australia,2010,Symphonic black Death,Symphonic black Death Australia
Amogh Symphony,20,2003,India,-,Progressive death Avantgarde,Progressive death Avantgarde India
Ancient Ascendant,20,2005,United Kingdom,2005,Death,Death United Kingdom
Annotations Of An Autopsy,20,2006,United Kingdom,2013,Deathcore Brutal death,Deathcore Brutal death United Kingdom
Attacker,20,1983,USA,1983,Us power,Us power USA
Canaan,20,1996,Italy,-,Doom,Doom Italy
Carcariass,20,1991,France,1991,Technical death,Technical death France
Centinex,20,1990,Sweden,-,Death,Death Sweden
Ceremonial Oath,20,1988,Sweden,1988,Melodic death Gothenburg,Melodic death Gothenburg Sweden
Circle Of Dead Children,20,1998,USA,2013,Grindcore,Grindcore USA
Convulse,20,1988,Finland,1988,Death Speed,Death Speed Finland
Crystalic,20,1998,Finland,-,Progressive Melodic death,Progressive Melodic death Finland
Doom,20,1987,United Kingdom,1987,Crust Punk,Crust Punk United Kingdom
Enter Shikari,20,1999,United Kingdom,-,Metalcore Trancecore,Metalcore Trancecore United Kingdom
Flourishing,20,2009,USA,2009,Technical death Grindcore Sludge,Technical death Grindcore Sludge USA
Forgotten Tales,20,1999,Canada,-,Power,Power Canada
